modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score,rank,start_position,end_position,readable_evidence,start_s,end_s,representative_time_s,frame_path,duration_s,evidence_semantics,display_eligible,timestamp_status,display_reason,final_display_rank
T,4,13,16,15|16|17|18|19,3,03,missing,0.4415476024150848,-0.1356043373256921,0.0963511765003204,0.0967967357784509,0.0963511765003204,0.1124839657967289,0.0307574087964614,1,15,19,bankwest who don ',2.86,4.62,3.74,,1.7600000000000002,missing_aware_local_sensitivity,True,PASS,,1.0
T,1,16,16,19,3,03,missing,0.4474062323570251,-0.1293681598365306,0.0904925465583801,0.0905605582892894,0.0904925465583801,0.1055859729399283,0.0288712343122235,2,19,19,',4.46,4.62,4.54,,0.16000000000000014,missing_aware_local_sensitivity,True,PASS,,2.0
T,3,24,26,27|28|29,3,03,missing,0.445445567369461,-0.117429257979989,0.0924532115459442,0.0786216564327478,0.0924532115459442,0.1055568209514021,0.0288632630460792,3,27,29,they take rental,6.87,7.8,7.335,,0.9299999999999997,missing_aware_local_sensitivity,True,PASS,,3.0
T,2,26,27,29|30,3,03,missing,0.4653119146823883,-0.0816757684782147,0.0725868642330169,0.0428681669309735,0.0725868642330169,0.0797315587215125,0.0218016508238007,4,29,30,rental yield,7.24,8.28,7.76,,1.0399999999999991,missing_aware_local_sensitivity,True,PASS,,4.0
T,4,16,19,19|20|21|22,3,03,missing,0.4840790629386902,-0.0767016769260167,0.053819715976715,0.0378940753787755,0.053819715976715,0.060135395206511,0.0164433119014125,5,19,22,' t take rental,4.46,5.38,4.92,,0.9199999999999999,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,15,18,16|17|18|19,3,03,missing,0.5153905153274536,-0.0665472813569009,0.0225082635879516,0.0277396798096597,0.0225082635879516,0.0271315435562282,0.0352573862882052,1,16,19,,3.21,4.62,3.915,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank01.png,1.4100000000000001,missing_aware_local_sensitivity,True,PASS,,1.0
V,4,18,21,19|20|21|22,3,03,missing,0.5178182721138,-0.0578941818088292,0.0200805068016052,0.019086580261588,0.0200805068016052,0.0232616035118699,0.0302284069832362,2,19,22,,4.46,5.38,4.92,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank02.png,0.9199999999999999,missing_aware_local_sensitivity,True,PASS,,2.0
V,4,12,15,13|14|15|16,3,03,missing,0.5250251293182373,-0.0512703166961669,0.0128736495971679,0.0124627151489257,0.0128736495971679,0.0149507687886555,0.0194284939739916,3,13,16,,2.52,3.56,3.04,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank03.png,1.04,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,13,16,14|15|16|17,4,04,missing,0.6602188348770142,-0.2863282389402389,-0.0914844274520874,0.2370541590601206,0.0,0.0395090265100201,0.0327970832026677,1,14,17,,2.84,3.78,3.31,,0.94,missing_aware_local_sensitivity,True,PASS,,1.0
A,4,16,19,17|18|19|20,4,04,missing,0.6356059908866882,-0.2187972465068101,-0.0668715834617614,0.1695231666266918,0.0,0.0282538611044486,0.0234539879944702,2,17,20,,3.6,4.26,3.93,,0.6599999999999997,missing_aware_local_sensitivity,True,PASS,,2.0
A,4,10,13,11|12|13|14,4,04,missing,0.6142407059669495,-0.1891562076866626,-0.0455062985420227,0.1398821278065443,0.0,0.0233136879677573,0.0193530702115794,3,11,14,,2.32,3.14,2.73,,0.8200000000000003,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,22,25,23|24|25|26,4,04,missing,0.36876180768013,0.4466140901684761,0.1999725997447967,0.4958881700485945,0.1999725997447967,0.2826206280862292,0.0266559968542817,1,23,26,] absolutely not .,5.233333333333333,6.22,5.726666666666667,,0.9866666666666664,missing_aware_local_sensitivity,True,PASS,,1.0
T,3,20,22,21|22|23,4,04,missing,0.4060606956481933,0.3246183704376221,0.1626737117767334,0.3738924503177404,0.1626737117767334,0.2249891201630234,0.0212203522436563,2,21,23,goodbye ? ],4.26,5.72,4.99,,1.46,missing_aware_local_sensitivity,True,PASS,,2.0
T,4,9,12,10|11|12|13,4,04,missing,0.4156199991703033,0.3701082957327366,0.1531144082546234,0.4193823756128549,0.1531144082546234,0.2230114708567659,0.0210338258246775,3,10,13,should i kiss my,2.16,2.84,2.5,,0.6799999999999997,missing_aware_local_sensitivity,True,PASS,,3.0
T,2,19,20,20|21,4,04,missing,0.4372133612632751,0.2165357708275318,0.1315210461616516,0.2658098507076502,0.1315210461616516,0.1758226879462599,0.0165831101874733,4,20,21,""" goodbye",4.109999999999999,4.746666666666666,4.428333333333333,,0.6366666666666667,missing_aware_local_sensitivity,True,PASS,,4.0
T,4,1,4,2|3|4|5,4,04,missing,0.4572453200817108,0.2207152141869068,0.1114890873432159,0.2699892940670252,0.1114890873432159,0.1564873030210535,0.0147594500985665,5,2,5,i blow it at,0.54,1.16,0.85,,0.6199999999999999,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,1,4,2|3|4|5,4,04,missing,0.5455275177955627,0.0011432012483477,0.023206889629364,0.0504172811284661,0.023206889629364,0.0316097698174417,0.0680436534341131,1,2,5,,0.54,1.16,0.85,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank01.png,0.6199999999999999,missing_aware_local_sensitivity,True,PASS,,1.0
V,1,3,3,4,4,04,missing,0.5577847957611084,-0.017183794357255,0.0109496116638183,0.0320902855228632,0.0109496116638183,0.0162979925842955,0.0350832975210607,2,4,4,,0.94,1.08,1.01,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank02.png,0.14000000000000012,missing_aware_local_sensitivity,True,PASS,,2.0
V,2,0,1,1|2,4,04,missing,0.5603336095809937,-0.0359658556975424,0.0084007978439331,0.0133082241825759,0.0084007978439331,0.0106188352076957,0.0228582601809305,3,1,2,,0.0,0.66,0.33,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank03.png,0.66,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,4,7,5|6|7|8,5,05,missing,0.5507282018661499,0.4139264759063721,0.0341187715530395,0.081565093755722,0.0341187715530395,0.0477129538456599,0.0612632041348694,1,5,8,,2.24,3.52,2.88,,1.2799999999999998,missing_aware_local_sensitivity,True,PASS,,1.0
A,4,11,14,12|13|14|15,5,05,missing,0.5599555373191833,0.4589544680953026,0.0248914361000061,0.0365371015667915,0.0248914361000061,0.0309809530278046,0.0397793952513347,2,12,15,,4.3,5.34,4.82,,1.04,missing_aware_local_sensitivity,True,PASS,,2.0
A,4,7,10,8|9|10|11,5,05,missing,0.5703914165496826,0.4570847171187401,0.0144555568695068,0.038406852543354,0.0144555568695068,0.0208566989600658,0.0267799015358228,3,8,11,,3.5,4.3,3.9,,0.7999999999999998,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,0,3,1|2|3|4,5,05,missing,0.4695448279380798,0.4056995662391186,0.1153021454811096,0.0897920034229755,0.1153021454811096,0.1302674793849388,0.1021099623015228,1,1,4,"hi , my name",0.8399999999999994,2.24,1.5399999999999998,,1.4000000000000008,missing_aware_local_sensitivity,True,PASS,,1.0
T,1,0,0,1,5,05,missing,0.5392706394195557,0.4494517444610596,0.0455763339996337,0.0460398252010345,0.0455763339996337,0.0532496381998062,0.0417396465704593,2,1,1,hi,0.8399999999999994,1.1599999999999997,0.9999999999999996,,0.3200000000000003,missing_aware_local_sensitivity,True,PASS,,2.0
T,1,8,8,9|10,5,05,missing,0.5543597936630249,0.4590864182949066,0.0304871797561645,0.0364051513671875,0.0304871797561645,0.0365547049840291,0.0286533489823098,3,9,10,marketer,3.52,4.1,3.81,,0.5799999999999996,missing_aware_local_sensitivity,True,PASS,,3.0
T,1,1,1,2,5,05,missing,0.5561273097991943,0.4545330891847611,0.0287196636199951,0.040958480477333,0.0287196636199951,0.0355460770328839,0.0278627375223048,4,2,2,",",1.1599999999999997,1.48,1.3199999999999998,,0.3200000000000003,missing_aware_local_sensitivity,True,PASS,,4.0
T,1,3,3,4,5,05,missing,0.5537911057472229,0.4875726780533791,0.0310558676719665,0.007918891608715,0.0310558676719665,0.0323756829400857,0.0253776290146013,5,4,4,name,2.1,2.24,2.17,,0.14000000000000012,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,0,3,1|2|3|4,5,05,missing,0.5411940217018127,0.4163241350889206,0.0436529517173767,0.0791674345731735,0.0436529517173767,0.0568475241462389,0.0703398433324446,1,1,4,,0.8399999999999994,2.24,1.5399999999999998,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank01.png,1.4000000000000008,missing_aware_local_sensitivity,True,PASS,,1.0
V,4,3,6,4|5|6|7,5,05,missing,0.5609619617462158,0.4751662981748581,0.0238850116729736,0.020325271487236,0.0238850116729736,0.0272725569208463,0.0337454868949543,2,4,7,,2.1,2.66,2.38,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank02.png,0.56,missing_aware_local_sensitivity,True,PASS,,2.0
V,4,6,9,7|8|9|10,5,05,missing,0.5699831247329712,0.5214041292309761,0.0148638486862182,0.0259125595688819,0.0148638486862182,0.0191826086143652,0.0237354520694869,3,7,10,,2.58,4.1,3.34,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank03.png,1.5199999999999996,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,26,29,27|28|29|30,6,06,missing,0.5949263572692871,0.4449643098950386,0.0054653286933898,0.0108445664048194,0.0054653286933898,0.0072727564275264,0.0316733592157081,1,27,30,,5.94,6.38,6.16,,0.4399999999999995,missing_aware_local_sensitivity,True,PASS,,1.0
A,3,32,34,33|34|35,6,06,missing,0.5971644520759583,0.4365834583282471,0.0032272338867187,0.019225417971611,0.0032272338867187,0.0064314702153205,0.0280094993480015,2,33,35,,6.66,7.58,7.12,,0.9199999999999999,missing_aware_local_sensitivity,True,PASS,,2.0
A,2,0,1,1|2,6,06,missing,0.5969462990760803,0.4483298723936081,0.0034453868865966,0.00747900390625,0.0034453868865966,0.0046918875376383,0.020433496001167,3,1,2,,0.0,0.6466666666666666,0.3233333333333333,,0.6466666666666666,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,17,20,18|19|20|21,6,06,missing,0.3886884450912475,0.2206822132110596,0.2117032408714294,0.2351266630887985,0.2117032408714294,0.2508910180528959,0.0258005213273515,1,18,21,"dance , see impressive",3.1,4.34,3.72,,1.2399999999999998,missing_aware_local_sensitivity,True,PASS,,1.0
T,4,20,23,21|22|23|24,6,06,missing,0.4481273591518402,0.3176892932891846,0.1522643268108368,0.1381195830106735,0.1522643268108368,0.1752842573126157,0.0180254568467239,2,21,24,impressive dance moves then,3.88,5.7,4.79,,1.8200000000000003,missing_aware_local_sensitivity,True,PASS,,2.0
T,1,18,18,19,6,06,missing,0.4709613025188446,0.3177552683889866,0.1294303834438324,0.1380536079108715,0.1294303834438324,0.1524393180956443,0.0156761844572067,3,19,19,",",3.3,3.5,3.4,,0.20000000000000018,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,8,11,9|10|11|12,6,06,missing,0.4997818171977997,0.3477152674138546,0.1006098687648773,0.1080936088860035,0.1006098687648773,0.1186254702458779,0.01219891807526,4,9,12,"in that sense ,",1.42,2.04,1.73,,0.6200000000000001,missing_aware_local_sensitivity,True,PASS,,4.0
T,4,13,16,14|15|16|17,6,06,missing,0.4974272847175598,0.3681285594046116,0.1029644012451171,0.0876803168952464,0.1029644012451171,0.1175777873943249,0.0120911790100453,5,14,17,like to watch people,2.26,3.1,2.68,,0.8400000000000003,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,25,28,26|27|28|29,6,06,missing,0.5970902442932129,0.4426546175122261,0.0033014416694641,0.0131542587876319,0.0033014416694641,0.0054938181340694,0.0336262046790377,1,26,29,,5.8,6.28,6.04,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank01.png,0.4800000000000004,missing_aware_local_sensitivity,True,PASS,,1.0
V,2,28,29,29|30,6,06,missing,0.5988245010375977,0.4436225208282471,0.0015671849250793,0.012186355471611,0.0015671849250793,0.0035982441703478,0.0220238988631474,2,29,30,,6.16,6.38,6.27,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank02.png,0.21999999999999975,missing_aware_local_sensitivity,True,PASS,,2.0
V,3,0,2,1|2|3,6,06,missing,0.5977689623832703,0.4510355227828026,0.0026227235794067,0.0047733535170554,0.0026227235794067,0.0034182824989159,0.0209224011706006,3,1,3,,0.0,0.6933333333333334,0.3466666666666667,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank03.png,0.6933333333333334,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,36,39,37|38|39|40,7,07,missing,0.6242141723632812,0.624790413403511,-0.0025684833526611,0.0155739902257918,0.0,0.0025956650376319,0.0175459056282213,1,37,40,,11.72,12.626666666666669,12.173333333333336,,0.9066666666666681,missing_aware_local_sensitivity,True,PASS,,1.0
A,4,1,4,2|3|4|5,7,07,missing,0.6271516680717468,0.6243064885973931,-0.0055059790611267,0.0150900654196739,0.0,0.0025150109032789,0.0170007082281845,2,2,5,,0.72,0.9,0.81,,0.18000000000000005,missing_aware_local_sensitivity,True,PASS,,2.0
A,4,44,47,45|46|47|48,7,07,missing,0.6254560947418213,0.6242624514937402,-0.0038104057312011,0.0150460283160209,0.0,0.0025076713860034,0.0169510953252846,3,45,48,,14.22,15.34,14.78,,1.1199999999999992,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,15,18,19|20|21|22,7,07,missing,0.5328524708747864,0.5118574221968651,0.0887932181358337,0.097359000980854,0.0887932181358337,0.1050197182993094,0.043387018885011,1,19,22,attendees “ enthusiastically discussed,5.12,7.42,6.27,,2.3,missing_aware_local_sensitivity,True,PASS,,1.0
T,1,17,17,21,7,07,missing,0.5793761014938354,0.5554556048154832,0.0422695875167846,0.053760818362236,0.0422695875167846,0.0512297239104906,0.0211646444569921,2,21,21,enthusiastically,5.42,6.68,6.05,,1.2599999999999998,missing_aware_local_sensitivity,True,PASS,,2.0
T,4,20,23,24|25|26|27,7,07,missing,0.5845808386802673,0.5682578889966011,0.0370648503303527,0.040958534181118,0.0370648503303527,0.0438912726938724,0.0181328945468018,3,24,27,topics of growing the,7.7,9.28,8.49,,1.5799999999999992,missing_aware_local_sensitivity,True,PASS,,3.0
T,3,40,42,46|47|48,7,07,missing,0.5937897562980652,0.5726133196592331,0.0278559327125549,0.036603103518486,0.0278559327125549,0.0339564499656359,0.0140285001691598,4,46,48,ways the leading,14.42,15.34,14.88,,0.9199999999999999,missing_aware_local_sensitivity,True,PASS,,4.0
T,3,18,20,22|23|24,7,07,missing,0.5971074104309082,0.5895510637998581,0.0245382785797119,0.019665359377861,0.0245382785797119,0.027815838476022,0.0114916163250603,5,22,24,discussed the topics,6.68,8.06,7.37,,1.3800000000000008,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,37,40,38|39|40|41,7,07,missing,0.6130969524383545,0.5830839466094971,0.0085487365722656,0.026132476568222,0.0085487365722656,0.0129041493336359,0.029765357592858,1,38,41,,12.06,12.78,12.42,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank01.png,0.7199999999999989,missing_aware_local_sensitivity,True,PASS,,1.0
V,4,41,44,42|43|44|45,7,07,missing,0.6172235608100891,0.5842277835249902,0.004422128200531,0.024988639652729,0.004422128200531,0.0085869014759858,0.0198069773093164,2,42,45,,12.78,14.42,13.6,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank02.png,1.6400000000000006,missing_aware_local_sensitivity,True,PASS,,2.0
V,3,16,18,17|18|19,7,07,missing,0.6179995536804199,0.5994937288403511,0.0036461353302001,0.009722694337368,0.0036461353302001,0.0052665843864282,0.0121481675003855,3,17,19,,4.08,5.27,4.675,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank03.png,1.1899999999999995,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,0,3,1|2|3|4,8,08,missing,0.5959575772285461,0.2717044070601463,0.0445296168327331,0.0342824287116527,0.0445296168327331,0.0502433549513419,0.1088036276845519,1,1,4,,0.58,1.42,1.0,,0.84,missing_aware_local_sensitivity,True,PASS,,1.0
A,1,0,0,1,8,08,missing,0.6201406121253967,0.2673600125253201,0.0203465819358825,0.038626823246479,0.0203465819358825,0.0267843858102957,0.0580024630975599,2,1,1,,0.58,0.78,0.6799999999999999,,0.20000000000000007,missing_aware_local_sensitivity,True,PASS,,2.0
A,4,3,6,4|5|6|7,8,08,missing,0.6220818161964417,0.3225286487579346,0.0184053778648376,0.0165418129861354,0.0184053778648376,0.0211623466958602,0.0458277536015991,3,4,7,,1.22,1.96,1.59,,0.74,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,6,9,7|8|9|10,8,08,missing,0.4572577178478241,0.0294534300692379,0.1832294762134552,0.2765334057025612,0.1832294762134552,0.229318377163882,0.0703492362761238,1,7,10,the universal design grand,1.85,3.62,2.7350000000000003,,1.77,missing_aware_local_sensitivity,True,PASS,,1.0
T,4,0,3,1|2|3|4,8,08,missing,0.5396941900253296,0.1612681182414293,0.1007930040359497,0.1447187175303697,0.1007930040359497,0.1249127902910113,0.0383201708767207,2,1,4,that brings us to,0.58,1.42,1.0,,0.84,missing_aware_local_sensitivity,True,PASS,,2.0
T,2,9,10,10|11,8,08,missing,0.5635144710540771,0.1485318225860596,0.0769727230072021,0.1574550131857395,0.0769727230072021,0.1032152252048254,0.0316638917256877,3,10,11,grand challenge,3.04,4.16,3.6,,1.12,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,3,6,4|5|6|7,8,08,missing,0.5694180727005005,0.1331558650672436,0.0710691213607788,0.1728309707045555,0.0710691213607788,0.0998742831448714,0.0306389728976926,4,4,7,"to tonight , the",1.22,1.96,1.59,,0.74,missing_aware_local_sensitivity,True,PASS,,4.0
T,1,8,8,9,8,08,missing,0.5717918872833252,0.1892483943641186,0.0686953067779541,0.1167384414076805,0.0686953067779541,0.0881517136792341,0.0270427769918057,5,9,9,design,2.36,3.04,2.7,,0.6800000000000002,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,4,7,5|6|7|8,8,08,missing,0.6610844731330872,0.4223513645768166,-0.0205972790718078,0.1163645288050174,0.0,0.0193940881341695,0.0452124500736959,1,5,8,,1.42,2.36,1.89,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank01.png,0.94,missing_aware_local_sensitivity,True,PASS,,1.0
V,4,1,4,2|3|4|5,8,08,missing,0.6608352065086365,0.4050616458296776,-0.0203480124473571,0.0990748100578784,0.0,0.0165124683429797,0.0384946765934878,2,2,5,,0.78,1.74,1.26,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank02.png,0.96,missing_aware_local_sensitivity,True,PASS,,2.0
V,4,7,10,8|9|10|11,8,08,missing,0.6565914750099182,0.3891357615530491,-0.0161042809486389,0.08314892578125,0.0,0.013858154296875,0.0323068094218426,3,8,11,,1.96,4.16,3.06,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank03.png,2.2,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,5,8,6|7|8|9,9,09,missing,0.9306529760360718,-1.8528275826931,-0.0010585784912109,0.0286840507984162,0.0,0.0047806751330693,0.0535314703300836,1,6,9,,1.16,1.76,1.46,,0.6000000000000001,missing_aware_local_sensitivity,True,PASS,,1.0
