modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score,rank,start_position,end_position,readable_evidence,start_s,end_s,representative_time_s,frame_path
A,4,13,16,14|15|16|17,4,04,missing,0.6602188348770142,-0.28632823894023895,-0.0914844274520874,0.23705415906012062,0.0,0.039509026510020105,0.03279708320266772,1,14,17,,2.84,3.78,3.3099999999999996,
A,4,16,19,17|18|19|20,4,04,missing,0.6356059908866882,-0.21879724650681018,-0.06687158346176147,0.1695231666266918,0.0,0.028253861104448635,0.023453987994470273,2,17,20,,3.6,4.26,3.9299999999999997,
A,4,10,13,11|12|13|14,4,04,missing,0.6142407059669495,-0.18915620768666266,-0.045506298542022705,0.1398821278065443,0.0,0.023313687967757384,0.019353070211579435,3,11,14,,2.32,3.14,2.73,
T,4,22,25,23|24|25|26,4,04,missing,0.36876180768013,0.44661409016847614,0.19997259974479675,0.4958881700485945,0.19997259974479675,0.2826206280862292,0.026655996854281792,1,23,26,] absolutely not .,5.233333333333333,6.22,5.726666666666667,
T,3,20,22,21|22|23,4,04,missing,0.40606069564819336,0.3246183704376221,0.1626737117767334,0.37389245031774043,0.1626737117767334,0.22498912016302347,0.021220352243656357,2,21,23,goodbye ? ],4.26,5.72,4.99,
T,4,9,12,10|11|12|13,4,04,missing,0.41561999917030334,0.3701082957327366,0.1531144082546234,0.41938237561285496,0.1531144082546234,0.22301147085676593,0.02103382582467752,3,10,13,should i kiss my,2.16,2.84,2.5,
T,2,19,20,20|21,4,04,missing,0.43721336126327515,0.21653577082753184,0.1315210461616516,0.2658098507076502,0.1315210461616516,0.17582268794625996,0.01658311018747339,4,20,21,""" goodbye",4.109999999999999,4.746666666666666,4.428333333333333,
T,4,1,4,2|3|4|5,4,04,missing,0.4572453200817108,0.22071521418690684,0.11148908734321594,0.2699892940670252,0.11148908734321594,0.1564873030210535,0.014759450098566579,5,2,5,i blow it at,0.54,1.16,0.85,
V,4,1,4,2|3|4|5,4,04,missing,0.5455275177955627,0.0011432012483477798,0.023206889629364014,0.050417281128466135,0.023206889629364014,0.0316097698174417,0.0680436534341131,1,2,5,,0.54,1.16,0.85,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank01.png
V,1,3,3,4,4,04,missing,0.5577847957611084,-0.017183794357255082,0.01094961166381836,0.03209028552286327,0.01094961166381836,0.01629799258429557,0.03508329752106074,2,4,4,,0.94,1.08,1.01,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank02.png
V,2,0,1,1|2,4,04,missing,0.5603336095809937,-0.035965855697542404,0.008400797843933105,0.013308224182575948,0.008400797843933105,0.010618835207695763,0.02285826018093058,3,1,2,,0.0,0.66,0.33,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank03.png
A,4,4,7,5|6|7|8,5,05,missing,0.5507282018661499,0.4139264759063721,0.03411877155303955,0.08156509375572207,0.03411877155303955,0.0477129538456599,0.0612632041348694,1,5,8,,2.24,3.52,2.88,
A,4,11,14,12|13|14|15,5,05,missing,0.5599555373191833,0.4589544680953026,0.024891436100006104,0.036537101566791574,0.024891436100006104,0.030980953027804698,0.03977939525133479,2,12,15,,4.3,5.34,4.82,
A,4,7,10,8|9|10|11,5,05,missing,0.5703914165496826,0.4570847171187401,0.014455556869506836,0.038406852543354075,0.014455556869506836,0.02085669896006585,0.026779901535822853,3,8,11,,3.5,4.3,3.9,
T,4,0,3,1|2|3|4,5,05,missing,0.46954482793807983,0.4056995662391186,0.11530214548110962,0.08979200342297555,0.11530214548110962,0.13026747938493888,0.10210996230152287,1,1,4,"hi , my name",0.8399999999999994,2.24,1.5399999999999998,
T,1,0,0,1,5,05,missing,0.5392706394195557,0.4494517444610596,0.04557633399963379,0.04603982520103456,0.04557633399963379,0.053249638199806215,0.04173964657045933,2,1,1,hi,0.8399999999999994,1.1599999999999997,0.9999999999999996,
T,1,8,8,9|10,5,05,missing,0.5543597936630249,0.45908641829490665,0.03048717975616455,0.03640515136718753,0.03048717975616455,0.036554704984029136,0.028653348982309833,3,9,10,marketer,3.52,4.1,3.8099999999999996,
T,1,1,1,2,5,05,missing,0.5561273097991943,0.4545330891847611,0.028719663619995117,0.04095848047733308,0.028719663619995117,0.03554607703288396,0.027862737522304847,4,2,2,",",1.1599999999999997,1.48,1.3199999999999998,
T,1,3,3,4,5,05,missing,0.5537911057472229,0.4875726780533791,0.031055867671966553,0.007918891608715062,0.031055867671966553,0.03237568294008573,0.025377629014601374,5,4,4,name,2.1,2.24,2.17,
V,4,0,3,1|2|3|4,5,05,missing,0.5411940217018127,0.41632413508892063,0.04365295171737671,0.07916743457317355,0.04365295171737671,0.05684752414623897,0.07033984333244463,1,1,4,,0.8399999999999994,2.24,1.5399999999999998,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank01.png
V,4,3,6,4|5|6|7,5,05,missing,0.5609619617462158,0.4751662981748581,0.023885011672973633,0.020325271487236063,0.023885011672973633,0.02727255692084631,0.033745486894954345,2,4,7,,2.1,2.66,2.38,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank02.png
V,4,6,9,7|8|9|10,5,05,missing,0.5699831247329712,0.5214041292309761,0.014863848686218262,0.025912559568881943,0.014863848686218262,0.019182608614365253,0.023735452069486906,3,7,10,,2.58,4.1,3.34,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank03.png
A,4,26,29,27|28|29|30,6,06,missing,0.5949263572692871,0.44496430989503866,0.005465328693389893,0.010844566404819456,0.005465328693389893,0.007272756427526468,0.03167335921570818,1,27,30,,5.94,6.38,6.16,
A,3,32,34,33|34|35,6,06,missing,0.5971644520759583,0.4365834583282471,0.00322723388671875,0.019225417971611036,0.00322723388671875,0.006431470215320589,0.028009499348001596,2,33,35,,6.66,7.58,7.12,
A,2,0,1,1|2,6,06,missing,0.5969462990760803,0.4483298723936081,0.0034453868865966797,0.0074790039062500036,0.0034453868865966797,0.004691887537638347,0.020433496001167024,3,1,2,,0.0,0.6466666666666666,0.3233333333333333,
T,4,17,20,18|19|20|21,6,06,missing,0.38868844509124756,0.2206822132110596,0.21170324087142944,0.2351266630887985,0.21170324087142944,0.2508910180528959,0.02580052132735152,1,18,21,"dance , see impressive",3.1,4.34,3.7199999999999998,
T,4,20,23,21|22|23|24,6,06,missing,0.4481273591518402,0.3176892932891846,0.1522643268108368,0.1381195830106735,0.1522643268108368,0.1752842573126157,0.018025456846723947,2,21,24,impressive dance moves then,3.88,5.7,4.79,
T,1,18,18,19,6,06,missing,0.4709613025188446,0.3177552683889866,0.1294303834438324,0.1380536079108715,0.1294303834438324,0.15243931809564432,0.015676184457206786,3,19,19,",",3.3,3.5,3.4,
T,4,8,11,9|10|11|12,6,06,missing,0.4997818171977997,0.3477152674138546,0.10060986876487732,0.1080936088860035,0.10060986876487732,0.1186254702458779,0.012198918075260084,4,9,12,"in that sense ,",1.42,2.04,1.73,
T,4,13,16,14|15|16|17,6,06,missing,0.4974272847175598,0.36812855940461164,0.10296440124511719,0.08768031689524647,0.10296440124511719,0.11757778739432494,0.012091179010045349,5,14,17,like to watch people,2.26,3.1,2.6799999999999997,
V,4,25,28,26|27|28|29,6,06,missing,0.5970902442932129,0.4426546175122261,0.0033014416694641113,0.01315425878763199,0.0033014416694641113,0.005493818134069442,0.03362620467903774,1,26,29,,5.8,6.28,6.04,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank01.png
V,2,28,29,29|30,6,06,missing,0.5988245010375977,0.4436225208282471,0.0015671849250793457,0.01218635547161101,0.0015671849250793457,0.0035982441703478474,0.02202389886314749,2,29,30,,6.16,6.38,6.27,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank02.png
V,3,0,2,1|2|3,6,06,missing,0.5977689623832703,0.4510355227828026,0.0026227235794067383,0.00477335351705549,0.0026227235794067383,0.0034182824989159866,0.02092240117060065,3,1,3,,0.0,0.6933333333333334,0.3466666666666667,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank03.png
A,4,36,39,37|38|39|40,7,07,missing,0.6242141723632812,0.624790413403511,-0.002568483352661133,0.015573990225791867,0.0,0.002595665037631978,0.01754590562822131,1,37,40,,11.72,12.626666666666669,12.173333333333336,
A,4,1,4,2|3|4|5,7,07,missing,0.6271516680717468,0.6243064885973931,-0.005505979061126709,0.015090065419673948,0.0,0.0025150109032789913,0.017000708228184506,2,2,5,,0.72,0.9,0.81,
A,4,44,47,45|46|47|48,7,07,missing,0.6254560947418213,0.6242624514937402,-0.003810405731201172,0.015046028316020976,0.0,0.002507671386003496,0.016951095325284667,3,45,48,,14.22,15.34,14.780000000000001,
T,4,15,18,19|20|21|22,7,07,missing,0.5328524708747864,0.5118574221968651,0.08879321813583374,0.09735900098085404,0.08879321813583374,0.10501971829930941,0.04338701888501105,1,19,22,attendees “ enthusiastically discussed,5.12,7.42,6.27,
T,1,17,17,21,7,07,missing,0.5793761014938354,0.5554556048154832,0.04226958751678467,0.05376081836223601,0.04226958751678467,0.05122972391049067,0.021164644456992194,2,21,21,enthusiastically,5.42,6.68,6.05,
T,4,20,23,24|25|26|27,7,07,missing,0.5845808386802673,0.5682578889966011,0.03706485033035278,0.040958534181118056,0.03706485033035278,0.04389127269387246,0.01813289454680185,3,24,27,topics of growing the,7.7,9.28,8.49,
T,3,40,42,46|47|48,7,07,missing,0.5937897562980652,0.5726133196592331,0.02785593271255493,0.03660310351848606,0.02785593271255493,0.03395644996563594,0.014028500169159824,4,46,48,ways the leading,14.42,15.34,14.879999999999999,
T,3,18,20,22|23|24,7,07,missing,0.5971074104309082,0.5895510637998581,0.024538278579711914,0.01966535937786107,0.024538278579711914,0.027815838476022092,0.01149161632506039,5,22,24,discussed the topics,6.68,8.06,7.37,
V,4,37,40,38|39|40|41,7,07,missing,0.6130969524383545,0.5830839466094971,0.008548736572265625,0.02613247656822204,0.008548736572265625,0.012904149333635966,0.029765357592858026,1,38,41,,12.06,12.78,12.42,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank01.png
V,4,41,44,42|43|44|45,7,07,missing,0.6172235608100891,0.5842277835249902,0.004422128200531006,0.024988639652729017,0.004422128200531006,0.008586901475985842,0.019806977309316482,2,42,45,,12.78,14.42,13.6,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank02.png
V,3,16,18,17|18|19,7,07,missing,0.6179995536804199,0.5994937288403511,0.0036461353302001953,0.009722694337368054,0.0036461353302001953,0.005266584386428204,0.012148167500385549,3,17,19,,4.08,5.27,4.675,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank03.png
A,4,0,3,1|2|3|4,8,08,missing,0.5959575772285461,0.27170440706014637,0.044529616832733154,0.03428242871165277,0.044529616832733154,0.05024335495134195,0.10880362768455197,1,1,4,,0.58,1.42,1.0,
A,1,0,0,1,8,08,missing,0.6201406121253967,0.2673600125253201,0.02034658193588257,0.038626823246479036,0.02034658193588257,0.02678438581029574,0.0580024630975599,2,1,1,,0.58,0.78,0.6799999999999999,
A,4,3,6,4|5|6|7,8,08,missing,0.6220818161964417,0.3225286487579346,0.018405377864837646,0.01654181298613544,0.018405377864837646,0.02116234669586022,0.045827753601599124,3,4,7,,1.22,1.96,1.5899999999999999,
T,4,6,9,7|8|9|10,8,08,missing,0.4572577178478241,0.029453430069237972,0.1832294762134552,0.2765334057025612,0.1832294762134552,0.22931837716388206,0.07034923627612381,1,7,10,the universal design grand,1.85,3.62,2.7350000000000003,
T,4,0,3,1|2|3|4,8,08,missing,0.5396941900253296,0.16126811824142936,0.10079300403594971,0.14471871753036977,0.10079300403594971,0.12491279029101134,0.038320170876720766,2,1,4,that brings us to,0.58,1.42,1.0,
T,2,9,10,10|11,8,08,missing,0.5635144710540771,0.1485318225860596,0.07697272300720215,0.15745501318573954,0.07697272300720215,0.1032152252048254,0.031663891725687766,3,10,11,grand challenge,3.04,4.16,3.6,
T,4,3,6,4|5|6|7,8,08,missing,0.5694180727005005,0.1331558650672436,0.07106912136077881,0.17283097070455553,0.07106912136077881,0.0998742831448714,0.03063897289769267,4,4,7,"to tonight , the",1.22,1.96,1.5899999999999999,
T,1,8,8,9,8,08,missing,0.5717918872833252,0.1892483943641186,0.0686953067779541,0.11673844140768053,0.0686953067779541,0.08815171367923419,0.027042776991805743,5,9,9,design,2.36,3.04,2.7,
V,4,4,7,5|6|7|8,8,08,missing,0.6610844731330872,0.4223513645768166,-0.02059727907180786,0.11636452880501746,0.0,0.01939408813416958,0.04521245007369599,1,5,8,,1.42,2.36,1.89,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank01.png
V,4,1,4,2|3|4|5,8,08,missing,0.6608352065086365,0.40506164582967763,-0.020348012447357178,0.09907481005787849,0.0,0.016512468342979748,0.038494676593487806,2,2,5,,0.78,1.74,1.26,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank02.png
V,4,7,10,8|9|10|11,8,08,missing,0.6565914750099182,0.38913576155304913,-0.016104280948638916,0.08314892578125,0.0,0.013858154296875,0.03230680942184264,3,8,11,,1.96,4.16,3.06,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank03.png
A,4,5,8,6|7|8|9,9,09,missing,0.9306529760360718,-1.8528275826931,-0.0010585784912109375,0.028684050798416294,0.0,0.004780675133069383,0.05353147033008363,1,6,9,,1.16,1.76,1.46,
A,4,0,3,1|2|3|4,9,09,missing,0.935712456703186,-1.9087880006790163,-0.006118059158325195,0.02727636718750004,0.0,0.004546061197916673,0.05090438763588937,2,1,4,,0.6799999999999995,0.6999999999999995,0.6899999999999995,
A,2,4,5,5|6,9,09,missing,0.9299859404563904,-1.870073156929016,-0.000391542911529541,0.011438476562500188,0.0,0.001906412760416698,0.021347001266663605,3,5,6,,0.6999999999999995,1.3,0.9999999999999998,
T,4,1,4,2|3|4|5|6,9,09,missing,0.9160663485527039,-1.738354850268364,0.013528048992156982,0.1431567832231524,0.013528048992156982,0.03738751286268238,0.04485175404078935,1,2,6,uhh ) i did,0.6849999999999995,1.3,0.9924999999999997,
T,4,13,16,15|16|17|18,9,09,missing,0.9228810667991638,-1.7738141705751418,0.0067133307456970215,0.1076974629163745,0.0067133307456970215,0.024662907898426106,0.029586741515907452,2,15,18,would not recommend it,2.88,3.82,3.3499999999999996,
T,4,4,7,6|7|8|9,9,09,missing,0.9242218136787415,-1.788068229174614,0.005372583866119385,0.09344340431690235,0.005372583866119385,0.02094648458560311,0.025128351760204577,3,6,9,did not like this,1.16,1.76,1.46,
T,2,0,1,1|2|3,9,09,missing,0.9226729273796082,-1.807601584649086,0.0069214701652526855,0.07391004884243024,0.0069214701652526855,0.019239811638991057,0.023080949583155323,4,1,3,( uhh,0.6799999999999995,0.6949999999999995,0.6874999999999996,
T,4,8,11,10|11|12|13,9,09,missing,0.9213972687721252,-1.8218557506561281,0.008197128772735596,0.05965588283538814,0.008197128772735596,0.01813977591196695,0.021761296894682095,5,10,13,"movie at all ,",1.76,2.64,2.2,
V,3,15,17,16|17|18,9,09,missing,0.9287952184677124,-1.8618023444175722,0.0007991790771484375,0.019709289073944092,0.0007991790771484375,0.004084060589472452,0.06748115746643657,1,16,18,,2.98,3.82,3.4,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank01.png
V,3,13,15,14|15|16,9,09,missing,0.9293893575668335,-1.870249305343628,0.00020503997802734375,0.0112623281478883,0.00020503997802734375,0.0020820946693420606,0.034402564595656195,2,14,16,,2.84,3.14,2.99,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank02.png
V,4,0,3,1|2|3|4,9,09,missing,0.9303112030029297,-1.890838477230072,-0.0007168054580688477,0.009326843738555635,0.0,0.001554473956425939,0.025684658572757202,3,1,4,,0.6799999999999995,0.6999999999999995,0.6899999999999995,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank03.png
A,4,16,19,17|18|19|20,10,10,missing,0.911637544631958,-1.777949576830864,0.0024966001510620117,0.02771630859374996,0.0024966001510620117,0.0071159849166870055,0.02845451886211458,1,17,20,,4.08,5.26,4.67,
A,4,12,15,13|14|15|16,10,10,missing,0.9115267992019653,-1.780853125667572,0.0026073455810546875,0.024812759757042002,0.0026073455810546875,0.006742805540561688,0.02696229540728273,2,13,16,,3.04,4.08,3.56,
A,4,26,29,27|28|29|30,10,10,missing,0.9185657501220703,-1.835581793642044,-0.004431605339050293,0.029915908217430065,0.0,0.004985984702905011,0.019937337899962507,3,27,30,,7.14,9.0,8.07,
T,4,25,28,27|28|29|30,10,10,missing,0.6929531693458557,-0.834891189134121,0.2211809754371643,0.970774696290493,0.2211809754371643,0.38297675815224647,0.13465519028327244,1,27,30,one was pretty terrible,7.14,9.0,8.07,
T,1,28,28,30,10,10,missing,0.8800020217895508,-1.56730561003685,0.03413212299346924,0.23836027538776383,0.03413212299346924,0.07385883555809655,0.025968874989073753,2,30,30,terrible,8.56,9.0,8.780000000000001,
T,4,11,14,12|13|14|15|16,10,10,missing,0.8906880021095276,-1.6915450201988222,0.02344614267349243,0.11412086522579168,0.02344614267349243,0.04246628687779104,0.014931208796435017,3,12,16,see fluffy chick flicks,2.82,4.08,3.45,
T,4,14,17,15|16|17|18|19,10,10,missing,0.8951734900474548,-1.713102149105072,0.018960654735565186,0.09256373631954196,0.018960654735565186,0.03438794412215551,0.012090851626506801,4,15,19,flicks sometimes so i,3.8,5.22,4.51,
T,4,22,25,24|25|26|27,10,10,missing,0.8986076712608337,-1.7165337135553362,0.01552647352218628,0.08913217186927769,0.01552647352218628,0.030381835500399225,0.010682297955102012,5,24,27,that but this one,6.1,7.38,6.74,
V,4,7,10,8|9|10|11,10,10,missing,0.9163158535957336,-1.7886841041803359,-0.002181708812713623,0.01698178124427807,0.0,0.0028302968740463452,0.023826706412865595,1,8,11,,2.0,2.82,2.41,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank01.png
V,4,10,13,11|12|13|14,10,10,missing,0.9164588451385498,-1.792643576836586,-0.002324700355529785,0.013022308588027887,0.0,0.0021703847646713146,0.01827127078610942,2,11,14,,2.68,3.8,3.24,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank02.png
V,4,18,21,19|20|21|22,10,10,missing,0.9156549572944641,-1.792643576836586,-0.0015208125114440918,0.013022308588027887,0.0,0.0021703847646713146,0.01827127078610942,3,19,22,,5.18,5.52,5.35,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank03.png
A,4,2,5,3|4|5|6,11,11,missing,0.9162359237670898,-1.342847526049614,0.005889296531677246,0.06634318554401375,0.005889296531677246,0.016946494122346202,0.057458520135448554,1,3,6,,0.76,3.46,2.11,
A,4,5,8,6|7|8|9,11,11,missing,0.9192216396331787,-1.355605826830864,0.002903580665588379,0.053584884762763796,0.002903580665588379,0.011834394792715678,0.04012551543575308,2,6,9,,3.32,4.14,3.7299999999999995,
