sample_index,sample_id,predicted_class,predicted_class_id,prob_negative,prob_neutral,prob_positive,seed2026_raw_regression,seed2028_raw_regression,hybrid_raw_regression,hybrid_final_intensity,classification_entropy,seed2028_fusion_weight_text,seed2028_fusion_weight_audio,seed2028_fusion_weight_vision,content_length,phi_text_cls,phi_audio_cls,phi_vision_cls,abs_share_text_cls,abs_share_audio_cls,abs_share_vision_cls,phi_text_reg,phi_audio_reg,phi_vision_reg,abs_share_text_reg,abs_share_audio_reg,abs_share_vision_reg,main_modality_cls,main_modality_reg,top1_cls_agreement,top1_reg_agreement,topk_local_overlap_jaccard,local_spearman_mean,key_text,key_audio_intervals,key_visual_intervals,representative_frames
11,11,Negative,0,0.9221252202987671,0.04834867641329765,0.029526105150580406,-1.716796875,-1.53125,-1.5498046875,-1.4091907115936277,0.32522918063776957,0.6553964018821716,0.21046729385852814,0.13413627445697784,16,0.6670495768388113,7.839252551396659e-05,-0.008337947229544321,0.987539949021412,0.00011605696688483077,0.012343994011703174,-1.4205695396513522,-0.09708933231964079,0.18023699025802015,0.836664704386767,0.05718214790404225,0.1061531477091907,T,T,True,True,0.6111111111111112,0.5176535968962188,would be ashamed to; ashamed; to have made this; to; have,0.760-3.460s; 3.320-4.140s; 0.000-0.880s,4.140-4.860s; 0.880-3.460s; 0.640-1.260s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank03.png
12,12,Negative,0,0.8775038719177246,0.07567121833562851,0.04682500287890434,-1.35546875,-1.228515625,-1.2412109375,-1.1311477428436278,0.4533484815134714,0.5372629165649414,0.24670952558517456,0.21602754294872284,44,0.3624075551827749,-0.011141950885454813,0.00590026875336965,0.9550870213407375,0.029363440499321075,0.01554953815994145,-0.6079660224616527,0.06722306835651405,-0.12002701953053482,0.7645293078821808,0.08453433913334175,0.1509363529844775,T,T,True,True,0.24193548387096775,0.39779543419433,"scores is very low; low; credit sag , and; perhaps by fault of; by no fault of",11.500-12.300s; 7.700-8.430s; 4.060-5.760s,8.430-9.200s; 9.000-9.720s; 4.800-5.920s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank03.png
13,13,Neutral,1,0.08752218633890152,0.7030221819877625,0.20945563912391663,0.1864013671875,0.15625,0.15926513075828552,0.13068119465708736,0.7883438788677493,0.5216112732887268,0.26369571685791016,0.21469305455684662,32,0.3305002450942993,-0.012787654995918274,0.045346960425376885,0.8504132765028617,0.03290403485408678,0.11668268864305156,0.18727388593616584,-0.10083823369381328,0.3927815069394808,0.27504132602871634,0.14809689760479275,0.5768617763664909,T,V,True,False,0.26666666666666666,0.22059409881829797,"could take a set; example , i could; could; two; i can find a",0.000-0.940s; 6.020-6.960s; 4.820-5.080s,0.940-1.540s; 1.700-4.000s; 6.840-6.960s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_13\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_13\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_13\vision_rank03.png
14,14,Neutral,1,0.08243588358163834,0.6327698826789856,0.28479424118995667,0.27587890625,0.23291015625,0.23720702528953552,0.2009068416297436,0.8530224763990506,0.4130357503890991,0.30377665162086487,0.283187597990036,37,0.344757134715716,0.008136967817942303,-0.07171234985192618,0.8119451147733444,0.019163551972010858,0.1688913332546447,0.027491295328984658,0.07844339231277508,0.4208071526909869,0.05219121251430911,0.1489218936229213,0.7988868938627697,T,V,True,True,0.2459016393442623,0.6665279299888734,vettese limited and; is the co -; final examination ( ufe; - founder of; of rossen and vettese,7.025-8.507s; 8.653-9.560s; 1.980-2.360s,8.100-8.800s; 0.000-0.760s; 2.360-3.680s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank03.png
15,15,Positive,2,0.04969891533255577,0.15288734436035156,0.7974137663841248,1.12109375,1.03515625,1.0437500476837158,0.9276021048069001,0.6168352888469906,0.5135942697525024,0.25881117582321167,0.22759462893009186,23,0.4512141595284144,0.10594805578390758,0.060847471157709755,0.7301085555886259,0.17143429642513405,0.09845714798624008,0.4851893836868306,0.4213868973565599,0.1270825937067469,0.4693902365072942,0.4076653407135117,0.12294442277919407,T,T,True,True,0.3695652173913043,0.5876710520656311,power to transform lives; to; believed in its power; transform; prioritize education because,6.000-6.980s; 6.980-7.314s; 7.314-7.314s,6.480-7.290s; 7.280-7.314s; 6.000-6.740s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank03.png
16,16,Negative,0,0.9448531270027161,0.033651866018772125,0.02149512991309166,-2.28125,-2.154296875,-2.1669921875,-1.965276649093628,0.25027389411092016,0.5832515358924866,0.19095765054225922,0.225790873169899,13,0.6436190654834112,-0.014503176013628641,-0.027847597996393837,0.9382614634467062,0.021142585546237373,0.04059595100705649,-1.9172844306602301,0.04298788563903269,0.06823259165134124,0.9451712062147586,0.02119190615242992,0.03363688763281157,T,T,True,True,0.8484848484848485,0.4487371554260086,"is a terrible movie; a terrible , this; it ' s a; this is; terrible",0.000-0.620s; 1.620-2.440s; 0.620-1.170s,0.780-1.620s; 1.170-2.440s; 0.000-0.780s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank03.png
17,17,Positive,2,0.021342765539884567,0.07820212841033936,0.9004551768302917,1.4208984375,1.291015625,1.3040038347244263,1.16209076693058,0.37581852698032114,0.5519868731498718,0.24056141078472137,0.207451730966568,26,0.7030491158366203,-0.02514992654323578,0.030699424445629116,0.9264073477147926,0.03314004131335161,0.04045261097185573,1.2283077602203314,-0.030894220557684843,0.013420629840654591,0.9651783254292519,0.024276026765441466,0.010545647805306797,T,T,True,True,0.44,0.4883474529423026,"simple , easy and; and will make people; your presentations is simple; into a design guru; people think you turned",3.080-5.080s; 7.600-8.220s; 0.000-2.120s,7.340-8.220s; 4.760-6.900s; 7.980-8.790s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank03.png
18,18,Negative,0,0.5612532496452332,0.3390487730503082,0.09969793260097504,-0.63427734375,-0.41796875,-0.4395996034145355,-0.40889593083262443,0.9207539349508559,0.5120293498039246,0.2932485342025757,0.19472213089466095,50,-0.14189878106117249,0.028897136449813843,-0.027434408664703373,0.7158278140318899,0.14577555819689555,0.13839662777121453,0.3779463252772888,-0.08023064420620601,0.0917204571117957,0.687303316942865,0.14590110869031866,0.16679557436681633,T,T,True,False,0.5555555555555556,0.6987181360661266,denied msc certification based; denied; fishery has been denied; fishery has failed to; based on,3.940-6.470s; 0.800-1.920s; 0.000-1.100s,13.200-14.760s; 11.300-12.040s; 13.980-15.220s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank03.png
19,19,Positive,2,0.3692290484905243,0.20266687870025635,0.42810410261154175,0.4873046875,0.41845703125,0.42534178495407104,0.3704162600874901,1.0545709072182823,0.5298649072647095,0.20844699442386627,0.26168808341026306,41,0.18125667174657187,-0.030744860569636025,0.0935570498307546,0.5931977772412691,0.1006185470347839,0.30618367572394706,0.4191615031336745,-0.13586857096354166,0.4156859687094887,0.4318065063823619,0.13996736941803758,0.4282261241996005,T,T,True,True,0.28,0.2187622044381884,are surprisingly; for the most part; out there love; most; some haters out,2.660-3.680s; 5.300-6.740s; 7.780-9.120s,11.440-12.000s; 11.260-11.560s; 11.860-12.920s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank03.png
20,20,Positive,2,0.04893618822097778,0.22984199225902557,0.7212218642234802,1.01171875,0.9462890625,0.9528319835662842,0.8456849290370941,0.7213047536606352,0.47635459899902344,0.2660917341709137,0.25755369663238525,45,0.4497475028038025,0.05402579158544541,0.06297183781862258,0.7935621803256077,0.09532643249175692,0.11111138718263538,0.9609933260927599,0.13682911014805238,0.2855952805603544,0.6946515968545167,0.09890657643480094,0.20644182671068245,T,T,True,True,0.5098039215686274,0.6890084658845743,"more , and we; we ' ll have; and of course ,; the day today .; live updates and a",9.100-9.590s; 8.640-9.200s; 6.340-7.580s,2.480-3.440s; 1.580-2.220s; 3.160-4.640s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank03.png
