sample_index,sample_id,modality,rank,start_aligned_position,end_aligned_position,score,source_scale,classification_effect,regression_effect,raw_evidence,start_s,end_s,representative_time_s,mapping_status,frame_index,frame_path
14,14,T,2,17,20,0.22283188235963364,3,2.737955729166667,0.6870441387097042,uniform final examination (,4.94,6.595,5.65,PASS,,
14,14,T,3,7,7,0.11179075184315435,1,1.4812825520833333,0.3344075232744217,rossen,1.52,1.98,1.635,PASS,,
15,15,T,1,2,6,0.35275136015255715,3,16.30651346842448,5.731706192096074,"despite their poverty , the",6.48,7.3,7.09,PASS,,
15,15,T,2,17,18,0.12498754353122109,1,5.97784423828125,1.961523582537969,transform lives,7.3143125,7.3143125,7.3143125,PASS,,
15,15,T,3,4,4,0.09312340772948464,1,4.3621826171875,1.4932292997837067,poverty,6.98,7.2,7.09,PASS,,
16,16,T,1,8,10,0.5323254576157948,2,6.205078125,2.6395835081736245,a terrible movie,1.62,2.44,1.9100000000000001,PASS,,
16,16,T,2,4,4,0.07944871349481444,1,0.8497721354166667,0.4335938890775045,terrible,0.78,1.12,0.9500000000000001,PASS,,
16,16,T,3,5,5,0.07904723372388636,3,0.8307291666666667,0.4390626947085063,",",1.1500000000000001,1.1600000000000001,1.1550000000000002,PASS,,
17,17,T,1,10,13,0.23616836329716373,2,4.574666341145834,1.5888020793596904,", easy and will",4.76,6.9,6.59,PASS,,
17,17,T,2,3,4,0.10950706432722261,1,2.18896484375,0.722005009651184,design concepts,1.68,2.64,2.38,PASS,,
17,17,T,3,12,12,0.08347600159632364,1,1.6075236002604167,0.5708333750565847,and,6.58,6.6,6.59,PASS,,
18,18,T,1,19,28,0.5797432363167658,3,3.428222656250001,3.378776321808497,faeroese mackerel fishery has been denied msc certification based on,7.28,11.54,9.16,PASS,,
18,18,T,2,24,24,0.16136207728991306,1,2.272705078125,0.5789063274860381,denied,8.96,9.36,9.16,PASS,,
18,18,T,3,21,22,0.08154457977581231,1,1.1502278645833335,0.2880210429430008,fishery has,8.14,8.78,8.719999999999999,PASS,,
19,19,T,1,20,23,0.16219927894569658,3,24.555969238281246,8.207780063152313,point fingers and jump,8.14,9.32,8.559999999999999,PASS,,
19,19,T,2,1,3,0.1304238326130911,2,19.6662171681722,6.626241117715836,are surprisingly forgiving,0.64,2.12,1.2,PASS,,
19,19,T,3,25,26,0.06941501477614868,1,10.6756591796875,3.4570312201976776,over imperfections,9.62,10.74,9.76,PASS,,
20,20,T,1,1,5,0.206819834418581,3,6.848307291666667,1.3574214577674866,"of course , click in",0.64,1.58,0.71,PASS,,
20,20,T,2,21,25,0.16772687611093437,2,6.1309814453125,0.9973954757054646,have more live updates and,4.86,6.82,6.58,PASS,,
20,20,T,3,11,13,0.07938428757118018,1,2.8021240234375,0.4874346355597178,of this video,2.48,3.16,2.81,PASS,,
